Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO:0000785,0.27698625880920336,1.1125708752215944,0.30489192263936293,0.460163790038793,1.0,28/66,32.46%,MED10;CHD1;AKIRIN2;RBL1;RB1;CHD4;KDM3B;RFPL4AL1;NSD2;ESCO1;FAM111A;NAP1L5;PML;PPP1R10;BRD2;NSD1;CHD5;BRD4;FAM47E;BRDT;ESCO2;BRD3;DSCC1;MEN1;KDM3A;SET;PARPBP;PDS5B
prerank,GO:0005125,0.28856017915139287,1.1104144456685705,0.3111888111888112,0.46299872057652425,1.0,14/56,21.06%,CSF2;IL1A;IFNG;TGFB1;IL7;BMP7;TNF;GDF11;WNT5B;INHBA;BMP8B;IL15;IL1B;IL18
prerank,GO:0005654,0.2410600566244455,1.1073894331182665,0.25760649087221094,0.46729681173427073,1.0,93/212,38.38%,OASL;MIER1;TRIM6;DTX3L;RNF6;EID1;CHCHD1;ZBTB49;HNRNPF;MBNL2;PPM1G;KPNA2;TRIM21;HNRNPUL2;SUGP1;ZBTB33;MTA2;RPS6KA4;SH3RF2;PSME3;PSME2;ZBTB2;HNRNPAB;SART3;TRIM38;ANKRD12;PSME1;PRR13;OAS1;MIER3;CENPN;RPS6KA1;IBTK;CMIP;ZBTB1;ZBTB45;RFPL4AL1;RNH1;PCBP1;EMSY;ZBTB39;PML;GRB2;KPNA3;ARID1B;HNRNPDL;ACOT7;TRIM22;RNPS1;SETBP1;HNRNPU;HEXIM2;ZC3H10;ZBTB37;SPIDR;PRR14;BCL6;UBR4;PPP4R3A;DTX2;ARID1A;PWWP2B;KPNA1;AKIP1;HNRNPUL1;NPIPA2;KPNA6;RAD23A;SPIN4;HNRNPD;NPM2;SRSF11;PROB1;BAIAP2;ZNF318;SUGP2;MBNL3;RAD23B;ZBTB6;ZBTB17;NPIPB5;ARGLU1;HEXIM1;GRSF1;KPNA4;FAM124B;NPIPB3;ZNF641;MAML1;MEFV;PPP4R3B;RNASEH2B;NPIPB12
prerank,GO:0004896,0.3018645280998441,1.1062115232537633,0.3401442307692308,0.46834314250044584,1.0,15/39,32.09%,IL10RA;IL12RB1;IL2RG;IL5RA;CSF3R;CSF2RA;CRLF1;IFNGR1;LEPR;OSMR;IL2RB;IL20RB;IFNLR1;IL13RA1;CD74
prerank,GO:0003697,0.29988169404057724,1.1052964993645418,0.3234244946492271,0.46883735090789613,1.0,17/41,33.87%,RPA4;CDC45;RPA3;SMC5;TDP2;PCBP1;RAD51;MCM9;POLA1;MCM10;SMC6;MCM4;RBBP8;RPA2;RAD51AP1;POLR2G;MCM5
prerank,GO:0005543,0.33743671384305196,1.1043436448651025,0.34566326530612246,0.46919879073231685,1.0,12/23,41.06%,MTSS1;BIN2;BIN1;EPN2;GLE1;EPN1;ARFIP1;AMPH;NUP62CL;PLA2G2C;PACSIN3;NUP62
prerank,GO:0006364,-0.25590781474158364,-1.103505881794704,0.3088235294117647,0.8851541664717166,1.0,7/29,9.47%,HELQ;DDX47;POP5;ESF1;MRTO4;NOP53;RPS7
prerank,GO:0006325,0.37986938923092195,1.1023087154666422,0.33692722371967654,0.47168735426005687,1.0,7/15,25.82%,HMGN4;FAM50A;SUPT4H1;CDAN1;PHF19;LRWD1;HMGN3
prerank,GO:0016324,0.2917310046947078,1.0960162638531372,0.3269689737470167,0.48224839877057385,1.0,9/41,10.72%,SLC4A7;SLC4A2;PODXL;RAPGEF2;SLC9A3R1;PARD6G;SLC3A2;SLC2A1;SLC34A1
prerank,GO:0035869,0.36250606135457647,1.0960135417794532,0.3333333333333333,0.4809060420840846,1.0,9/17,39.79%,CCSAP;CPLANE1;NPHP4;KIFAP3;CEP290;CC2D2A;TMEM216;RPGRIP1L;TMEM17
prerank,GO:0008104,-0.2917390941419063,-1.0934563786906624,0.3247863247863248,0.8816969583544233,1.0,6/17,12.29%,NBEA;AMN;ODR4;PARD3;PARD3B;NBEAL1
prerank,GO:0070830,-0.29527741947734826,-1.0883634654914642,0.32061068702290074,0.861485132603305,1.0,10/16,30.96%,MARVELD2;CLDN7;CLDN4;OCEL1;CLDN15;POF1B;FRMPD2;OCLN;CLDN11;MARVELD3
prerank,GO:0048020,0.3678227622493194,1.0873425866625444,0.3706199460916442,0.4960819770182411,1.0,10/16,37.83%,CCL5;CCL4L2;CCL4;CCL3;CCL23;CCL2;XCL2;CCL8;CCL19;CCL20
prerank,GO:0000307,0.32740756898226586,1.0843489869722205,0.3588162762022195,0.5004448655103176,1.0,10/24,29.37%,CCNF;CDKN1A;CCNA2;CCNE2;CNPPD1;CCNB1;CCNB3;CDK13;CKS2;CCND3
prerank,GO:0051082,0.2845375780460253,1.0798690376612108,0.36063708759954494,0.5077866626608524,1.0,13/51,14.66%,HSPA1A;PET100;HSP90AA1;CCDC115;DNAJB6;CDC37;UGGT1;DNAJB11;HSP90B1;HSPA5;ERN1;PFDN1;HSPA8
prerank,GO:0042626,0.3068611412299739,1.0798110466173525,0.3543990086741016,0.5064671737030534,1.0,11/33,24.53%,ABCC10;ABCA3;ABCA5;TAP1;ABCA10;ABCD3;ABCB1;ABCC4;ABCB8;ABCC5;TAP2
